@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
165,'2017/02/17 14:24:38:427',3,74.967743,2
166,'2017/02/17 14:24:38:468',3,74.967743,2
167,'2017/02/17 14:24:38:508',3,74.967743,2
168,'2017/02/17 14:24:38:550',3,74.967743,2
169,'2017/02/17 14:24:38:589',3,74.387085,2
170,'2017/02/17 14:24:38:631',3,74.967743,2
171,'2017/02/17 14:24:38:667',3,74.967743,2
172,'2017/02/17 14:24:38:708',3,74.387085,2
173,'2017/02/17 14:24:38:751',3,75.548386,2
174,'2017/02/17 14:24:38:788',3,74.967743,2
175,'2017/02/17 14:24:38:830',3,74.387085,2
176,'2017/02/17 14:24:38:870',3,74.967743,2
177,'2017/02/17 14:24:38:907',3,74.387085,2
178,'2017/02/17 14:24:38:947',3,75.548386,2
179,'2017/02/17 14:24:38:989',3,75.548386,2
180,'2017/02/17 14:24:39:031',3,75.548386,2
181,'2017/02/17 14:24:39:067',3,74.967743,2
182,'2017/02/17 14:24:39:110',3,74.967743,2
183,'2017/02/17 14:24:39:148',3,75.548386,2
184,'2017/02/17 14:24:39:191',3,74.387085,2
185,'2017/02/17 14:24:39:231',3,75.548386,2
186,'2017/02/17 14:24:39:266',3,76.129028,2
187,'2017/02/17 14:24:39:306',3,76.129028,2
188,'2017/02/17 14:24:39:348',3,75.548386,2
189,'2017/02/17 14:24:39:386',3,74.387085,2
190,'2017/02/17 14:24:39:427',3,75.548386,2
191,'2017/02/17 14:24:39:467',3,74.387085,2
192,'2017/02/17 14:24:39:507',3,74.387085,2
193,'2017/02/17 14:24:39:550',3,75.548386,2
194,'2017/02/17 14:24:39:586',3,75.548386,2
195,'2017/02/17 14:24:39:631',3,74.387085,2
196,'2017/02/17 14:24:39:667',3,74.967743,2
197,'2017/02/17 14:24:39:707',3,75.548386,2
198,'2017/02/17 14:24:39:748',3,76.129028,2
199,'2017/02/17 14:24:39:789',3,74.967743,2
200,'2017/02/17 14:24:39:827',3,75.548386,2
201,'2017/02/17 14:24:39:870',3,74.967743,2
202,'2017/02/17 14:24:39:906',3,74.387085,2
203,'2017/02/17 14:24:39:948',3,74.967743,2
204,'2017/02/17 14:24:39:992',3,74.387085,2
205,'2017/02/17 14:24:40:026',3,74.967743,2
206,'2017/02/17 14:24:40:068',3,75.548386,2
207,'2017/02/17 14:24:40:109',3,74.387085,2
208,'2017/02/17 14:24:40:148',3,75.548386,2
209,'2017/02/17 14:24:40:190',3,75.548386,2
210,'2017/02/17 14:24:40:228',3,74.967743,2
211,'2017/02/17 14:24:40:267',3,74.967743,2
212,'2017/02/17 14:24:40:310',3,74.967743,2
213,'2017/02/17 14:24:40:351',3,74.387085,2
214,'2017/02/17 14:24:40:386',3,74.967743,2
215,'2017/02/17 14:24:40:427',3,74.967743,2
216,'2017/02/17 14:24:40:470',3,74.387085,2
217,'2017/02/17 14:24:40:511',3,74.967743,2
218,'2017/02/17 14:24:40:548',3,74.967743,2
219,'2017/02/17 14:24:40:589',3,74.967743,2
220,'2017/02/17 14:24:40:627',3,74.967743,2
221,'2017/02/17 14:24:40:667',3,74.967743,2
222,'2017/02/17 14:24:40:708',3,73.806442,2
223,'2017/02/17 14:24:40:751',3,74.967743,2
224,'2017/02/17 14:24:40:789',3,74.967743,2
225,'2017/02/17 14:24:40:829',3,74.387085,2
226,'2017/02/17 14:24:40:871',3,74.967743,2
227,'2017/02/17 14:24:40:907',3,75.548386,2
228,'2017/02/17 14:24:40:949',3,75.548386,2
