@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
347,'2017/02/26 11:52:01:612',6,73.806442,2
348,'2017/02/26 11:52:01:654',6,73.806442,2
349,'2017/02/26 11:52:01:695',6,74.387085,2
350,'2017/02/26 11:52:01:733',6,74.387085,2
351,'2017/02/26 11:52:01:773',6,73.806442,2
352,'2017/02/26 11:52:01:810',6,74.387085,2
353,'2017/02/26 11:52:01:854',6,74.387085,2
354,'2017/02/26 11:52:01:893',6,74.967743,2
355,'2017/02/26 11:52:01:935',6,73.2258,2
356,'2017/02/26 11:52:01:974',6,73.806442,2
357,'2017/02/26 11:52:02:012',6,74.967743,2
358,'2017/02/26 11:52:02:053',6,74.967743,2
359,'2017/02/26 11:52:02:092',6,74.967743,2
360,'2017/02/26 11:52:02:133',6,74.387085,2
